"s.Ficus leaves - Branch","s.Ficus wood - Branch","s.Ficus wood - Trunk","s.Lauraceae leaves - Branch","index","stat","p.value","taxon","q.value"
1,0,0,1,7,0.866025403784439,0.001,"OTU_001",0.0284
1,0,0,1,7,0.936597667023262,0.001,"OTU_008",0.0284
1,0,0,0,1,0.894427190999916,0.001,"OTU_045",0.0284
1,0,0,0,1,0.833410849107961,0.001,"OTU_052",0.0284
0,0,1,0,3,0.888631088282754,0.001,"OTU_103",0.0284
0,0,0,1,4,0.759256602365297,0.002,"OTU_016",0.0355
1,0,0,0,1,0.792824967172092,0.002,"OTU_020",0.0355
0,0,1,0,3,0.805076485899413,0.002,"OTU_106",0.0355
0,0,0,1,4,0.80903983495589,0.003,"OTU_005",0.0387272727272727
0,0,0,1,4,0.77247738573722,0.003,"OTU_004",0.0387272727272727
0,0,0,1,4,0.784025089204288,0.003,"OTU_002",0.0387272727272727
1,0,0,1,7,0.758355941784486,0.006,"OTU_038",0.0655384615384615
0,0,1,0,3,0.742833629961516,0.006,"OTU_082",0.0655384615384615
1,0,0,0,1,0.707106781186548,0.008,"OTU_043",0.0757333333333333
0,1,0,0,2,0.666803883230159,0.008,"OTU_080",0.0757333333333333
0,1,1,0,8,0.620173672946042,0.018,"OTU_107",0.15975
0,0,1,0,3,0.577350269189626,0.027,"OTU_137",0.225529411764706
0,0,1,0,3,0.577350269189626,0.03,"OTU_134",0.236666666666667
1,0,0,0,1,0.547722557505166,0.039,"OTU_041",0.291473684210526
1,0,0,0,1,0.547722557505166,0.044,"OTU_069",0.3124
1,0,0,0,1,0.547722557505166,0.047,"OTU_068",0.316272727272727
0,0,0,1,4,0.547722557505166,0.049,"OTU_019",0.316272727272727
1,0,0,0,1,0.547722557505166,0.058,"OTU_048",0.358086956521739
0,1,0,0,2,0.534522483824849,0.063,"OTU_115",0.37275
0,1,0,0,2,0.534522483824849,0.072,"OTU_099",0.40896
0,1,0,0,2,0.534522483824849,0.076,"OTU_095",0.415076923076923
1,0,0,0,1,0.591607978309962,0.082,"OTU_027",0.431259259259259
0,1,1,0,8,0.480384461415261,0.146,"OTU_105",0.660108108108108
0,0,1,0,3,0.408248290463863,0.155,"OTU_138",0.660108108108108
0,0,1,0,3,0.408248290463863,0.155,"OTU_139",0.660108108108108
0,0,1,0,3,0.408248290463863,0.155,"OTU_140",0.660108108108108
0,0,0,1,4,0.5,0.17,"OTU_010",0.660108108108108
0,0,1,0,3,0.408248290463863,0.172,"OTU_141",0.660108108108108
0,0,1,0,3,0.408248290463863,0.172,"OTU_142",0.660108108108108
0,0,1,0,3,0.408248290463863,0.172,"OTU_128",0.660108108108108
0,0,1,0,3,0.408248290463863,0.172,"OTU_129",0.660108108108108
0,0,1,0,3,0.408248290463863,0.172,"OTU_130",0.660108108108108
0,0,1,0,3,0.408248290463863,0.183,"OTU_132",0.666047619047619
0,0,1,0,3,0.408248290463863,0.188,"OTU_135",0.666047619047619
0,0,1,0,3,0.408248290463863,0.188,"OTU_136",0.666047619047619
0,0,1,0,3,0.408248290463863,0.197,"OTU_131",0.666047619047619
0,0,1,0,3,0.408248290463863,0.197,"OTU_133",0.666047619047619
1,0,0,1,7,0.5,0.21,"OTU_013",0.669811320754717
0,1,0,0,2,0.460043706228236,0.222,"OTU_021",0.669811320754717
0,0,0,1,4,0.447213595499958,0.225,"OTU_015",0.669811320754717
1,0,0,0,1,0.447213595499958,0.23,"OTU_079",0.669811320754717
1,0,0,0,1,0.447213595499958,0.237,"OTU_039",0.669811320754717
1,0,0,0,1,0.447213595499958,0.238,"OTU_044",0.669811320754717
